Index,CWE,Vulnerable,Ground_Ranking,Ground_Score,Id_of_description_1,Score_1,Id_of_description_2,Score_2,Id_of_description_3,Score_3
1557,190,0,,,,,,,,
1558,20,0,,,1050,0.7305,,,,
1559,362,0,,,,,,,,
1560,476,0,,,391,0.75,593,0.7483,1062,0.7471
1561,416,0,,,,,,,,
1562,20,0,,,31,0.7476,312,0.7447,1248,0.7445
1563,200,0,,,765,0.7597,1084,0.7582,1042,0.7556
1564,,0,,,1240,0.7324,,,,
1565,416,0,,,,,,,,
1566,119,0,,,,,,,,
1567,787,0,,,,,,,,
1568,119,0,,,,,,,,
1569,732,0,,,683,0.743,82,0.742,202,0.7412
1570,20,0,,,,,,,,
1571,399,0,,,570,0.8043,571,0.804,755,0.8027
1572,787,0,,,,,,,,
1573,119,0,,,86,0.7362,1262,0.7326,,
1574,264,0,,,1326,0.7327,,,,
1575,416,0,,,596,0.7545,832,0.7477,657,0.7452
1576,,0,,,1341,0.7363,,,,
1577,20,0,,,50,0.7507,185,0.7502,548,0.75
1578,119,0,,,,,,,,
1579,255,0,,,,,,,,
1580,416,0,,,,,,,,
1581,388,0,,,1240,0.7324,,,,
1582,129,0,,,,,,,,
1583,,0,,,1052,0.7601,1127,0.7559,603,0.7558
1584,,0,,,564,0.7986,148,0.7978,286,0.7846
1585,,0,,,1094,0.7624,1242,0.7597,1074,0.7592
1586,,0,,,,,,,,
1587,787,0,,,613,0.8105,281,0.7997,40,0.7972
1588,,0,,,1224,0.7487,1316,0.7422,1022,0.7376
1589,416,0,,,1240,0.7371,,,,
1590,284,0,,,,,,,,
1591,20,0,,,533,0.7857,534,0.7857,542,0.7857
1592,264,0,,,1251,0.7346,1250,0.7335,328,0.7335
1593,22,0,,,546,0.7542,1075,0.739,583,0.7387
1594,189,0,,,551,0.7507,489,0.7462,170,0.7447
1595,399,0,,,1062,0.7734,53,0.7653,391,0.7642
1596,416,0,,,1289,0.7408,1331,0.7398,1301,0.7376
1597,189,0,,,108,0.7776,638,0.7663,71,0.7663
1598,,0,,,,,,,,
1599,416,0,,,,,,,,
1600,754,0,,,,,,,,
1601,310,0,,,545,0.7936,59,0.7757,148,0.7739
1602,125,0,,,,,,,,
1603,200,0,,,,,,,,
1604,125,0,,,401,0.7636,81,0.762,82,0.7616
1605,20,0,,,548,0.7671,50,0.767,185,0.7615
1606,119,0,,,,,,,,
1607,399,0,,,128,0.7885,655,0.7837,553,0.7832
1608,264,0,,,87,0.796,210,0.786,84,0.7801
1609,119,0,,,,,,,,
1610,,0,,,,,,,,
1611,362,0,,,1240,0.7318,,,,
1612,,0,,,,,,,,
1613,119,0,,,1240,0.7412,,,,
1614,264,0,,,,,,,,
1615,119,0,,,91,0.7745,1063,0.7726,583,0.7703
1616,125,0,,,,,,,,
1617,189,0,,,1064,0.7594,111,0.7521,1054,0.7507
1618,,0,,,128,0.8065,553,0.8005,655,0.7969
1619,,0,,,317,0.7625,785,0.7623,154,0.7549
1620,200,0,,,1385,0.7311,,,,
1621,,0,,,439,0.8021,495,0.7931,394,0.7876
1622,119,0,,,95,0.761,216,0.7562,1296,0.7538
1623,284,0,,,281,0.813,613,0.8115,40,0.8089
1624,399,0,,,1224,0.7324,,,,
1625,,0,,,1085,0.7398,765,0.7394,1042,0.7339
1626,399,0,,,155,0.7686,910,0.7674,95,0.7665
1627,20,0,,,1240,0.7439,,,,
1628,119,0,,,207,0.7462,1077,0.743,829,0.741
1629,287,0,,,,,,,,
1630,59,0,,,,,,,,
1631,20,0,,,1331,0.752,1234,0.7428,1286,0.7422
1632,399,0,,,,,,,,
1633,287,0,,,657,0.7904,48,0.7879,56,0.7865
1634,704,0,,,683,0.752,64,0.7501,202,0.7497
1635,416,0,,,,,,,,
1636,,0,,,1281,0.7488,621,0.7469,26,0.7451
1637,416,0,,,1278,0.7633,1385,0.7513,250,0.7484
1638,787,0,,,,,,,,
1639,,0,,,608,0.7696,218,0.7678,132,0.7676
1640,,0,,,1268,0.7392,116,0.7375,1339,0.7359
1641,476,0,,,1330,0.7407,,,,
1642,362,0,,,1240,0.733,,,,
1643,362,0,,,,,,,,
1644,264,0,,,1072,0.7387,624,0.7379,603,0.7344
1645,119,0,,,,,,,,
1646,20,0,,,657,0.7851,56,0.785,48,0.7815
1647,125,0,,,,,,,,
1648,369,0,,,1043,0.7675,98,0.7664,692,0.7619
1649,94,0,,,,,,,,
1650,20,0,,,317,0.7714,785,0.769,1106,0.7654
1651,119,0,,,1056,0.7649,1122,0.7632,1058,0.7622
1652,119,0,,,,,,,,
1653,264,0,,,1062,0.7672,369,0.7635,53,0.7619
1654,189,0,,,651,0.734,1118,0.7304,,
1655,200,0,,,531,0.7708,93,0.7708,191,0.7612
1656,78,0,,,,,,,,
1657,79,0,,,83,0.77,117,0.7671,14,0.7643
1658,362,0,,,,,,,,
1659,362,0,,,,,,,,
1660,119,0,,,1241,0.8071,377,0.7995,276,0.7986
1661,125,0,,,785,0.7577,436,0.7506,599,0.7463
1662,399,0,,,1282,0.7652,33,0.7605,29,0.7586
1663,362,0,,,1282,0.7678,918,0.7552,24,0.7518
1664,399,0,,,,,,,,
1665,20,0,,,,,,,,
1666,416,0,,,1268,0.754,116,0.7535,1339,0.7494
1667,,0,,,148,0.7893,564,0.7865,286,0.7809
1668,399,0,,,1232,0.7486,250,0.7469,1278,0.7433
1669,284,0,,,829,0.7326,1254,0.7313,843,0.7304
1670,362,0,,,140,0.8415,449,0.8117,448,0.804
1671,,0,,,116,0.7353,1268,0.7336,1339,0.7335
1672,,0,,,1282,0.7519,918,0.7486,24,0.7478
1673,787,0,,,1224,0.7599,1022,0.7446,1316,0.7419
1674,787,0,,,488,0.7422,1232,0.7419,1260,0.738
1675,119,0,,,410,0.7817,805,0.7744,391,0.7734
1676,19,0,,,616,0.7435,1393,0.7434,119,0.74
1677,20,0,,,615,0.7548,243,0.7513,1102,0.7499
1678,,0,,,,,,,,
1679,399,0,,,152,0.7702,153,0.7698,587,0.7674
1680,404,0,,,122,0.7783,96,0.7642,421,0.7616
1681,20,0,,,,,,,,
1682,20,0,,,138,0.7448,1315,0.7444,1047,0.7443
1683,,0,,,1047,0.7447,134,0.7415,246,0.7389
1684,189,0,,,35,0.7454,1246,0.7392,1267,0.7338
1685,79,0,,,1111,0.7738,672,0.7726,131,0.7652
1686,119,0,,,494,0.7626,52,0.7513,221,0.7485
1687,416,0,,,,,,,,
1688,200,0,,,281,0.7918,40,0.7909,39,0.7876
1689,20,0,,,,,,,,
1690,119,0,,,128,0.7844,655,0.7833,148,0.7805
1691,,0,,,436,0.7785,785,0.7757,599,0.771
1692,200,0,,,1240,0.7308,,,,
1693,399,0,,,,,,,,
1694,189,0,,,,,,,,
1695,119,0,,,1389,0.7309,,,,
1696,189,0,,,1234,0.7576,1331,0.7572,252,0.755
1697,310,0,,,1268,0.7328,,,,
1698,362,0,,,546,0.7658,82,0.761,583,0.7562
1699,125,0,,,,,,,,
1700,125,0,,,,,,,,
1701,20,0,,,,,,,,
1702,22,0,,,,,,,,
1703,,0,,,1282,0.7351,29,0.7348,1310,0.7327
1704,264,0,,,35,0.7491,1267,0.744,1246,0.7431
1705,189,0,,,93,0.778,42,0.7759,49,0.7739
1706,,0,,,216,0.7724,95,0.7716,183,0.7662
1707,399,0,,,531,0.7524,93,0.7483,191,0.7467
1708,200,0,,,,,,,,
1709,119,0,,,,,,,,
1710,119,0,,,1320,0.7431,502,0.742,1248,0.7411
1711,119,0,,,1222,0.7404,843,0.7402,1303,0.7394
1712,,0,,,250,0.756,1232,0.7547,520,0.7536
1713,399,0,,,1315,0.7587,61,0.7579,1125,0.7522
1714,,0,,,1045,0.7544,1069,0.749,1058,0.7483
1715,264,0,,,596,0.7322,,,,
1716,787,0,,,1296,0.7755,95,0.774,183,0.772
1717,,0,,,502,0.754,539,0.7535,34,0.7529
1718,125,0,,,391,0.7373,1112,0.7349,95,0.733
1719,,0,,,,,,,,
1720,399,0,,,,,,,,
1721,,0,,,1094,0.7542,77,0.7518,1074,0.7483
1722,362,0,,,1331,0.7534,1301,0.7463,1234,0.7462
1723,119,0,,,1056,0.7471,403,0.7468,1086,0.7455
1724,20,0,,,108,0.7661,669,0.7595,688,0.7577
1725,119,0,,,52,0.7567,494,0.7541,221,0.7531
1726,119,0,,,925,0.733,527,0.7319,,
1727,399,0,,,1278,0.7502,1236,0.7457,190,0.7433
1728,189,0,,,1320,0.7329,,,,
1729,264,0,,,1278,0.7362,1232,0.7323,1385,0.7315
1730,399,0,,,1326,0.7505,828,0.7432,1223,0.7428
1731,,0,,,1094,0.7642,1097,0.7607,77,0.7555
1732,17,0,,,1123,0.7726,315,0.7675,330,0.7675
1733,119,0,,,,,,,,
1734,200,0,,,511,0.7393,1061,0.7391,467,0.7373
1735,125,0,,,1385,0.7317,,,,
1736,,0,,,,,,,,
1737,399,0,,,183,0.7678,95,0.7615,1296,0.7584
1738,264,0,,,1323,0.7457,1299,0.7413,1256,0.7377
1739,416,0,,,,,,,,
1740,476,0,,,829,0.7389,1264,0.7386,759,0.7359
1741,,0,,,,,,,,
1742,190,0,,,1393,0.7364,1099,0.731,,
1743,264,0,,,527,0.7533,1234,0.7508,1331,0.7498
1744,264,0,,,35,0.7487,190,0.7425,1385,0.7383
1745,119,0,,,,,,,,
1746,119,0,,,,,,,,
1747,20,0,,,1055,0.7529,144,0.7505,1118,0.75
1748,416,0,,,1296,0.7586,57,0.7578,330,0.7547
1749,,0,,,1323,0.7334,1351,0.7311,,
1750,125,0,,,,,,,,
1751,,0,,,1268,0.7374,1269,0.7363,1300,0.7331
1752,119,0,,,,,,,,
1753,79,0,,,466,0.7821,533,0.7818,534,0.7818
1754,119,0,,,524,0.7406,367,0.7375,762,0.7358
1755,119,0,,,,,,,,
1756,20,0,,,,,,,,
1757,78,0,,,,,,,,
1758,119,0,,,415,0.7448,1064,0.7444,1054,0.7424
1759,119,0,,,785,0.7704,599,0.7663,795,0.7618
1760,20,0,,,56,0.7951,657,0.7943,48,0.7941
1761,20,0,,,,,,,,
1762,399,0,,,,,,,,
1763,254,0,,,436,0.7555,1076,0.7434,1100,0.7433
1764,119,0,,,28,0.7482,1083,0.747,616,0.7458
1765,732,0,,,1268,0.7413,116,0.7351,1339,0.7348
1766,119,0,,,,,,,,
1767,189,0,,,641,0.7443,34,0.7442,1235,0.743
1768,119,0,,,,,,,,
1769,254,0,,,117,0.7764,14,0.7731,83,0.7672
1770,189,0,,,,,,,,
1771,93,0,,,34,0.7385,263,0.7371,31,0.7354
1772,,0,,,1262,0.7502,692,0.7445,86,0.7434
1773,310,0,,,1125,0.7529,777,0.7463,616,0.7402
1774,119,0,,,1300,0.7333,1268,0.7331,,
1775,20,0,,,,,,,,
1776,399,0,,,1055,0.7813,1121,0.7796,909,0.7772
1777,362,0,,,244,0.7568,34,0.7553,31,0.7491
1778,,0,,,572,0.7384,551,0.7366,1105,0.7361
1779,399,0,,,391,0.7401,623,0.7369,694,0.7353
1780,125,0,,,246,0.7504,616,0.7504,1047,0.7495
1781,119,0,,,584,0.7886,287,0.7871,672,0.7842
1782,119,0,,,1311,0.7315,,,,
1783,476,0,,,121,0.7744,157,0.7703,1038,0.7602
1784,119,0,,,1299,0.7309,,,,
1785,369,0,,,1074,0.7545,1046,0.7432,1094,0.743
1786,20,0,,,108,0.7954,638,0.7935,348,0.7878
1787,264,0,,,1268,0.7345,,,,
1788,190,0,,,433,0.7478,1312,0.7423,1054,0.7416
1789,264,0,,,527,0.7572,1331,0.7527,242,0.752
1790,787,0,,,,,,,,
1791,476,0,,,92,0.7321,,,,
1792,416,0,,,1054,0.7515,1071,0.75,26,0.7486
1793,476,0,,,,,,,,
1794,264,0,,,,,,,,
1795,119,0,,,1122,0.7627,1058,0.7609,923,0.7574
1796,284,0,,,1057,0.7377,598,0.7375,1105,0.7338
1797,20,0,,,1338,0.7345,22,0.7344,1273,0.7342
1798,20,0,,,1240,0.7305,,,,
1799,362,0,,,1240,0.7394,,,,
1800,,0,,,,,,,,
1801,264,0,,,1094,0.767,1089,0.7547,1084,0.7535
1802,476,0,,,28,0.7357,426,0.7326,1281,0.7317
1803,20,0,,,560,0.7866,272,0.779,270,0.7723
1804,119,0,,,,,,,,
1805,125,0,,,,,,,,
1806,399,0,,,1004,0.7348,1049,0.7341,1315,0.7338
1807,476,0,,,56,0.7672,48,0.7653,54,0.765
1808,,0,,,,,,,,
1809,617,0,,,1326,0.7543,1223,0.7527,1389,0.7436
1810,,0,,,312,0.7532,1235,0.749,612,0.7486
1811,119,0,,,1235,0.7499,262,0.7485,312,0.7471
1812,264,0,,,,,,,,
1813,732,0,,,584,0.7819,287,0.777,378,0.7766
1814,125,0,,,,,,,,
1815,200,0,,,590,0.7463,1058,0.7459,1056,0.7457
1816,264,0,,,84,0.798,698,0.7947,290,0.7926
1817,264,0,,,667,0.7596,917,0.7553,316,0.7532
1818,399,0,,,,,,,,
1819,,0,,,619,0.7601,92,0.7595,318,0.7556
1820,399,0,,,1282,0.7594,1301,0.754,1289,0.7523
1821,119,0,,,,,,,,
1822,787,0,,,,,,,,
1823,,0,,,1224,0.7321,,,,
1824,399,0,,,592,0.7759,1174,0.7709,456,0.766
1825,125,0,,,1385,0.7349,250,0.7338,1283,0.7325
1826,400,0,,,,,,,,
1827,,0,,,1118,0.737,1119,0.7368,1092,0.7325
1828,200,0,,,1326,0.7313,,,,
1829,476,0,,,,,,,,
1830,416,0,,,,,,,,
1831,,0,,,1302,0.7361,,,,
1832,362,0,,,1124,0.7611,318,0.761,6,0.7566
1833,200,0,,,,,,,,
1834,20,0,,,329,0.7354,,,,
1835,362,0,,,1120,0.758,1042,0.7572,1085,0.7519
1836,416,0,,,1392,0.7583,1094,0.7485,1074,0.7441
1837,200,0,,,,,,,,
1838,416,0,,,1042,0.7516,1120,0.7501,1066,0.749
1839,399,0,,,593,0.7521,391,0.7498,90,0.7489
1840,399,0,,,,,,,,
1841,264,0,,,333,0.7714,51,0.7669,395,0.7639
1842,,0,,,391,0.7767,410,0.7676,484,0.7651
1843,399,0,,,35,0.7508,1267,0.7503,1039,0.7445
1844,,0,,,489,0.761,1058,0.7592,551,0.7578
1845,,0,,,,,,,,
1846,119,0,,,,,,,,
1847,399,0,,,,,,,,
1848,19,0,,,,,,,,
1849,119,0,,,391,0.7607,910,0.7594,8,0.7553
1850,20,0,,,468,0.8052,12,0.8014,608,0.8009
1851,415,0,,,,,,,,
1852,200,0,,,,,,,,
1853,264,0,,,304,0.767,43,0.7613,93,0.7604
1854,834,0,,,,,,,,
1855,,0,,,104,0.7885,613,0.7872,39,0.7865
1856,200,0,,,122,0.7808,96,0.7655,421,0.7638
1857,200,0,,,830,0.7324,831,0.7321,79,0.7318
1858,264,0,,,,,,,,
1859,200,0,,,657,0.7886,48,0.7811,56,0.7788
1860,,0,,,616,0.7367,28,0.7364,26,0.7354
1861,732,0,,,96,0.7837,122,0.7829,421,0.7686
1862,20,0,,,1240,0.7355,,,,
1863,119,0,,,,,,,,
1864,20,0,,,122,0.7765,96,0.7706,14,0.7557
1865,119,0,,,,,,,,
1866,17,0,,,1240,0.7347,,,,
1867,416,0,,,145,0.7441,1262,0.7433,294,0.7417
1868,,0,,,1240,0.7333,,,,
1869,399,0,,,391,0.7653,487,0.7448,1110,0.7433
1870,399,0,,,,,,,,
1871,200,0,,,1240,0.7318,,,,
1872,264,0,,,459,0.8051,85,0.7966,419,0.7907
1873,119,0,,,,,,,,
1874,399,0,,,1240,0.7352,,,,
1875,119,0,,,527,0.7529,316,0.752,567,0.7499
1876,264,0,,,,,,,,
1877,476,0,,,108,0.7813,71,0.7716,148,0.7701
1878,284,0,,,419,0.7968,85,0.7949,459,0.792
1879,190,0,,,35,0.7415,190,0.7357,1385,0.7351
1880,400,0,,,,,,,,
1881,119,0,,,,,,,,
1882,399,0,,,1320,0.7422,502,0.7379,539,0.7313
1883,617,0,,,,,,,,
1884,20,0,,,,,,,,
1885,264,0,,,527,0.7374,316,0.7363,925,0.7357
1886,347,0,,,,,,,,
1887,119,0,,,,,,,,
1888,399,0,,,785,0.764,1106,0.7618,436,0.7592
1889,399,0,,,1320,0.7444,502,0.7439,1260,0.7421
1890,200,0,,,,,,,,
1891,772,0,,,,,,,,
1892,,0,,,,,,,,
1893,20,0,,,1058,0.7739,1075,0.7659,82,0.7624
1894,,0,,,,,,,,
1895,416,0,,,81,0.7751,401,0.7735,82,0.772
1896,399,0,,,1241,0.8279,377,0.8231,276,0.8223
1897,189,0,,,47,0.7805,628,0.7773,194,0.7768
1898,,0,,,,,,,,
1899,399,0,,,760,0.7403,1268,0.7395,1303,0.7356
1900,416,0,,,528,0.7972,607,0.797,541,0.7891
1901,125,0,,,,,,,,
1902,,0,,,1240,0.7443,,,,
1903,,0,,,,,,,,
1904,416,0,,,1339,0.7443,1224,0.7428,116,0.7379
1905,,0,,,,,,,,
1906,399,0,,,29,0.7594,33,0.7571,1282,0.7564
1907,125,0,,,1119,0.7553,298,0.7544,1065,0.754
1908,125,0,,,,,,,,
1909,264,0,,,8,0.7541,314,0.7507,391,0.7503
1910,416,0,,,1282,0.7532,1024,0.7515,1391,0.7502
1911,20,0,,,40,0.7971,39,0.7937,1078,0.7917
1912,399,0,,,1240,0.733,,,,
1913,362,0,,,1240,0.7307,,,,
1914,,0,,,,,,,,
1915,476,0,,,,,,,,
1916,404,0,,,1090,0.776,1091,0.7667,1052,0.763
1917,119,0,,,6,0.7596,1124,0.7577,581,0.7563
1918,362,0,,,509,0.7707,508,0.7689,182,0.7648
1919,125,0,,,,,,,,
1920,,0,,,1282,0.7495,1193,0.7477,33,0.7411
1921,416,0,,,330,0.777,315,0.7717,160,0.7695
1922,254,0,,,132,0.7841,218,0.7821,468,0.782
1923,200,0,,,1268,0.742,116,0.7374,,
1924,787,0,,,,,,,,
1925,189,0,,,,,,,,
1926,476,0,,,1240,0.7346,,,,
1927,125,0,,,184,0.7317,316,0.7314,667,0.7303
1928,254,0,,,598,0.76,1057,0.7529,1058,0.7521
1929,284,0,,,514,0.7801,122,0.7796,178,0.7738
1930,399,0,,,524,0.7474,762,0.7473,761,0.7471
1931,264,0,,,1076,0.7766,436,0.7756,1100,0.7673
1932,20,0,,,56,0.7871,48,0.7862,54,0.7852
1933,264,0,,,,,,,,
1934,476,0,,,,,,,,
1935,399,0,,,1224,0.7451,1268,0.7442,116,0.7441
1936,125,0,,,785,0.7528,1106,0.7527,599,0.7497
1937,264,0,,,1274,0.7342,1317,0.7317,,
1938,264,0,,,391,0.7721,53,0.7632,1062,0.7627
1939,189,0,,,132,0.7821,218,0.7807,423,0.7794
1940,,0,,,1080,0.7568,615,0.7519,590,0.7501
1941,20,0,,,1317,0.7343,,,,
1942,399,0,,,35,0.7454,1267,0.7432,1039,0.7407
1943,264,0,,,1240,0.739,,,,
1944,119,0,,,,,,,,
1945,732,0,,,62,0.751,567,0.7502,1125,0.7465
1946,125,0,,,,,,,,
1947,400,0,,,1260,0.7399,250,0.7316,,
1948,264,0,,,104,0.7798,613,0.7773,510,0.7721
1949,119,0,,,157,0.7792,121,0.7742,83,0.7702
1950,,0,,,,,,,,
1951,264,0,,,1326,0.7385,1223,0.7335,1389,0.7305
1952,264,0,,,86,0.7485,245,0.7483,582,0.7429
1953,20,0,,,494,0.775,1098,0.7677,52,0.7672
1954,189,0,,,239,0.8229,342,0.8154,440,0.8116
1955,254,0,,,1332,0.733,,,,
1956,125,0,,,,,,,,
1957,399,0,,,57,0.7502,1079,0.7442,330,0.7407
1958,,0,,,,,,,,
1959,119,0,,,1119,0.7689,298,0.766,619,0.7656
1960,416,0,,,1109,0.753,616,0.7528,1104,0.7523
1961,254,0,,,,,,,,
1962,,0,,,51,0.7459,333,0.7433,832,0.7373
1963,416,0,,,1091,0.7533,1126,0.7493,103,0.7486
1964,189,0,,,1240,0.7304,,,,
1965,189,0,,,,,,,,
1966,264,0,,,64,0.7335,583,0.7333,,
1967,119,0,,,,,,,,
1968,119,0,,,696,0.7865,705,0.7827,434,0.7817
1969,119,0,,,,,,,,
1970,362,0,,,,,,,,
1971,20,0,,,1246,0.7307,,,,
1972,20,0,,,,,,,,
1973,399,0,,,,,,,,
1974,200,0,,,564,0.786,148,0.7745,286,0.7656
1975,119,0,,,1126,0.7337,1091,0.733,,
1976,189,0,,,590,0.7617,615,0.7574,1117,0.7571
1977,200,0,,,1122,0.7481,923,0.7456,1086,0.7446
1978,254,0,,,1282,0.7327,1193,0.7326,1289,0.7323
1979,264,0,,,,,,,,
1980,,0,,,1273,0.732,,,,
1981,476,0,,,615,0.7711,256,0.7605,243,0.7588
1982,,0,,,375,0.7566,598,0.7555,690,0.7552
1983,,0,,,,,,,,
1984,,0,,,1299,0.7345,1323,0.7343,1256,0.7311
1985,125,0,,,1295,0.7441,1248,0.7425,34,0.7419
1986,,0,,,1220,0.7533,1268,0.748,1339,0.7478
1987,,0,,,1043,0.7667,761,0.7666,762,0.7664
1988,119,0,,,404,0.7466,315,0.7405,1123,0.7403
1989,416,0,,,35,0.7311,,,,
1990,200,0,,,436,0.7853,1076,0.7812,780,0.7716
1991,,0,,,1320,0.7414,502,0.7407,520,0.739
1992,125,0,,,1077,0.7341,,,,
1993,787,0,,,,,,,,
1994,399,0,,,,,,,,
1995,310,0,,,330,0.7661,653,0.7606,315,0.7599
1996,125,0,,,509,0.7697,182,0.7635,676,0.762
1997,20,0,,,329,0.7361,207,0.7353,662,0.7316
1998,20,0,,,52,0.7907,494,0.7902,51,0.7804
1999,189,0,,,761,0.7402,1044,0.7371,86,0.7346
2000,399,0,,,,,,,,
2001,200,0,,,619,0.7677,581,0.7556,92,0.7527
2002,399,0,,,,,,,,
2003,,0,,,246,0.7471,1047,0.7455,1104,0.7451
2004,200,0,,,,,,,,
2005,,0,,,528,0.7972,541,0.786,233,0.784
2006,,0,,,1224,0.7493,1316,0.736,1231,0.735
2007,200,0,,,,,,,,
2008,264,0,,,,,,,,
2009,200,0,,,568,0.7763,122,0.775,178,0.7729
2010,125,0,,,,,,,,
2011,362,0,,,297,0.7355,1273,0.7345,22,0.7327
2012,20,0,,,391,0.7432,1110,0.7337,,
2013,119,0,,,558,0.75,111,0.7495,1064,0.749
2014,,0,,,51,0.7718,494,0.7682,333,0.7671
2015,189,0,,,,,,,,
2016,264,0,,,655,0.7706,680,0.7703,553,0.7667
2017,,0,,,,,,,,
2018,119,0,,,,,,,,
2019,388,0,,,,,,,,
2020,611,0,,,,,,,,
2021,264,0,,,1233,0.7373,829,0.7339,329,0.7335
2022,254,0,,,1326,0.732,,,,
2023,,0,,,494,0.7741,1098,0.7639,52,0.7636
2024,404,0,,,597,0.7668,1089,0.7598,1084,0.7596
2025,284,0,,,545,0.7986,148,0.7855,59,0.7793
2026,264,0,,,1059,0.7323,327,0.7323,1357,0.7311
2027,369,0,,,,,,,,
2028,77,0,,,502,0.7422,1320,0.7375,520,0.7372
2029,416,0,,,613,0.7954,281,0.779,40,0.7653
2030,,0,,,56,0.779,657,0.7789,54,0.7751
2031,200,0,,,,,,,,
2032,125,0,,,,,,,,
2033,399,0,,,1224,0.7453,1316,0.7345,1220,0.7335
2034,399,0,,,,,,,,
2035,416,0,,,494,0.762,52,0.7499,1098,0.7488
2036,617,0,,,,,,,,
2037,399,0,,,377,0.8239,276,0.8201,1241,0.8184
2038,200,0,,,1069,0.7646,91,0.7514,602,0.7512
2039,20,0,,,,,,,,
2040,,0,,,,,,,,
2041,416,0,,,583,0.768,202,0.7665,428,0.7628
2042,119,0,,,,,,,,
2043,399,0,,,1330,0.7353,,,,
2044,416,0,,,,,,,,
2045,189,0,,,,,,,,
2046,125,0,,,1330,0.7312,,,,
2047,134,0,,,1326,0.7452,1389,0.7415,319,0.7404
2048,189,0,,,494,0.756,221,0.7511,333,0.7507
2049,264,0,,,,,,,,
2050,362,0,,,314,0.7572,391,0.7523,430,0.7523
2051,264,0,,,1389,0.7363,1326,0.735,319,0.7333
2052,200,0,,,79,0.7381,226,0.7378,831,0.7351
2053,200,0,,,502,0.7428,539,0.7421,836,0.7406
2054,404,0,,,1320,0.7324,,,,
2055,125,0,,,1351,0.7318,,,,
2056,732,0,,,,,,,,
2057,20,0,,,,,,,,
2058,787,0,,,1289,0.7665,1301,0.7641,1282,0.7611
2059,787,0,,,1320,0.7433,520,0.7398,502,0.7395
2060,,0,,,287,0.7882,378,0.7861,584,0.786
2061,20,0,,,1274,0.7474,1311,0.7436,1259,0.7391
2062,399,0,,,34,0.7444,244,0.742,31,0.7393
2063,119,0,,,1080,0.7502,615,0.7497,243,0.7495
2064,20,0,,,,,,,,
2065,416,0,,,1058,0.7765,1122,0.754,1086,0.7507
2066,311,0,,,51,0.7743,494,0.7672,333,0.7646
2067,200,0,,,,,,,,
2068,200,0,,,,,,,,
2069,20,0,,,,,,,,
2070,119,0,,,14,0.7934,83,0.7878,117,0.7747
2071,,0,,,528,0.7951,541,0.7914,233,0.7847
2072,20,0,,,453,0.7885,466,0.7866,533,0.7851
2073,119,0,,,,,,,,
2074,200,0,,,527,0.7375,925,0.7333,917,0.7329
2075,416,0,,,1301,0.7543,1289,0.7521,1331,0.7476
2076,399,0,,,,,,,,
2077,264,0,,,50,0.7531,835,0.7503,494,0.7436
2078,20,0,,,616,0.75,567,0.7479,1125,0.7467
2079,200,0,,,,,,,,
2080,20,0,,,1240,0.7348,,,,
2081,200,0,,,,,,,,
2082,787,0,,,,,,,,
2083,125,0,,,1240,0.7314,,,,
2084,,0,,,439,0.7836,674,0.7739,1187,0.7735
2085,119,0,,,,,,,,
2086,119,0,,,,,,,,
2087,,0,,,,,,,,
2088,,0,,,148,0.7875,564,0.7804,286,0.7766
2089,134,0,,,,,,,,
2090,,0,,,50,0.7594,835,0.7459,185,0.7438
2091,119,0,,,314,0.7642,391,0.7632,623,0.7626
2092,78,0,,,533,0.785,534,0.785,542,0.785
2093,189,0,,,527,0.7449,316,0.7428,184,0.7404
2094,119,0,,,1084,0.7316,,,,
2095,20,0,,,,,,,,
2096,416,0,,,1341,0.7406,327,0.732,,
2097,20,0,,,,,,,,
2098,189,0,,,35,0.746,1039,0.7398,1246,0.7383
2099,,0,,,1091,0.7653,1126,0.7653,1088,0.7617
2100,20,0,,,,,,,,
2101,191,0,,,,,,,,
2102,,0,,,81,0.7531,91,0.7501,1114,0.75
2103,20,0,,,1317,0.7343,,,,
2104,,0,,,318,0.7669,6,0.765,1124,0.7649
2105,,0,,,608,0.777,468,0.7753,132,0.7705
2106,,0,,,,,,,,
2107,264,0,,,,,,,,
2108,119,0,,,,,,,,
2109,119,0,,,623,0.7609,391,0.7595,314,0.7578
2110,189,0,,,615,0.7661,1041,0.7606,243,0.7575
2111,399,0,,,1251,0.7306,,,,
2112,,0,,,1240,0.7359,,,,
2113,89,0,,,241,0.7514,568,0.7505,514,0.7501
2114,119,0,,,121,0.7823,122,0.7716,14,0.7714
2115,834,0,,,1232,0.7312,,,,
2116,264,0,,,605,0.7477,396,0.7461,1064,0.7431
2117,125,0,,,,,,,,
2118,,0,,,,,,,,
2119,20,0,,,1240,0.739,,,,
2120,119,0,,,,,,,,
2121,119,0,,,,,,,,
2122,20,0,,,35,0.7386,1039,0.7326,1267,0.7304
2123,119,0,,,1282,0.7573,1301,0.7504,1289,0.7478
2124,399,0,,,34,0.7407,1321,0.7394,1248,0.7389
2125,119,0,,,,,,,,
2126,22,0,,,,,,,,
2127,119,0,,,,,,,,
2128,20,0,,,1125,0.746,213,0.7421,616,0.7421
2129,125,0,,,,,,,,
2130,,0,,,708,0.7619,5,0.7577,587,0.7575
2131,119,0,,,1273,0.7393,22,0.7339,1338,0.7332
2132,200,0,,,,,,,,
2133,59,0,,,1240,0.7331,,,,
2134,119,0,,,,,,,,
