Cwe,Folder,Palm_Description,Id_of_description_1,Description_from_cwe_website_1,Score_1,Id_of_description_2,Description_from_cwe_website_2,Score_2,Id_of_description_3,Description_from_cwe_website_3,Score_3,Id_of_description_4,Description_from_cwe_website_4,Score_4,Id_of_description_5,Description_from_cwe_website_5,Score_5,Ground_Ranking,Ground_Score,Ground_ID,Ground_Desc
cwe-306,my-eg-2,"The admin_page function checks if the user is logged in and if the user is an admin. If the user is not an admin, the function returns a 403 error.",756,"The product does not return custom error pages to the user, possibly exposing sensitive information.",0.3747,425,"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files.",0.3334,449,The UI performs the wrong action with respect to the user's request.,0.3018,565,"The product relies on the existence or values of cookies when performing security-critical operations, but it does not properly ensure that the setting is valid for the associated user.",0.2822,639,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.,0.2713,17,0.2321,306,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.
cwe-89,my-eg-1,The buy_stock function inserts the buy order in the database and calls the buy function to pass stock name.,1083,"The product is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component.",0.3828,134,"The product uses a function that accepts a format string as an argument, but the format string originates from an external source.",0.3717,628,"The product calls a function, procedure, or routine with arguments that are not correctly specified, leading to always-incorrect behavior and resultant weaknesses.",0.3635,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3517,1067,The product contains a data query against an SQL table or view that is configured in a way that does not utilize an index and may cause sequential searches to be performed.,0.3251,19,0.2797,89,"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
cwe-89,codeql-eg-SqlInjection-a,"The unsubscribe function checks if the email (GET variable) is in the database and if so, unsubscribes the user.",375,Sending non-cloned mutable data as a return value may result in that data being altered or deleted by the calling function.,0.3300,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.2604,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.2498,501,The product mixes trusted and untrusted data in the same data structure or structured message.,0.2485,248,"An exception is thrown from a function, but it is not caught.",0.2394,143,0.1182,89,"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
cwe-89,my-eg-2,"The insert_user_message_in_db function inserts a new message into the database. It takes two parameters, username and message, and uses them to construct an SQL INSERT statement. The statement is then executed, and the changes are committed to the database.",1117,"The code contains a function or method whose signature and/or associated inline documentation does not sufficiently describe the callable's inputs, outputs, side effects, assumptions, or return codes.",0.2995,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.2890,1083,"The product is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component.",0.2864,639,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.,0.2839,1108,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context.",0.2821,7,0.2736,89,"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
cwe-20,codeql-eg-IncompleteUrlSubstringSanitization,"The redirect_request function redirects users to the URL in the request, but only if the url is for the ""example.com"" domain.",698,"The web application sends a redirect to another location, but instead of exiting, it executes additional code.",0.4643,601,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",0.4244,449,The UI performs the wrong action with respect to the user's request.,0.3662,939,"The product uses a handler for a custom URL scheme, but it does not properly restrict which actors can invoke the handler using the scheme.",0.2937,918,"The web server receives a URL or similar request from an upstream component and retrieves the contents of this URL, but it does not sufficiently ensure that the request is being sent to the expected destination.",0.2774,212,0.0232,20,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
cwe-20,my-eg-1,The calculate_sale_value function calculates the value of a sale of a number of shares where the price comes from get_market_price().,193,"A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value.",0.3669,469,"The product subtracts one pointer from another in order to determine size, but this calculation can be incorrect if the pointers do not exist in the same memory chunk.",0.3582,822,"The product obtains a value from an untrusted source, converts this value to a pointer, and dereferences the resulting pointer.",0.3478,628,"The product calls a function, procedure, or routine with arguments that are not correctly specified, leading to always-incorrect behavior and resultant weaknesses.",0.3237,563,"The variable's value is assigned but never used, making it a dead store.",0.3204,196,0.0927,20,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
cwe-20,codeql-eg-IncompleteHostnameRegExp,"The safe function checks if the URL passed in the request is for the example.com domain. If it is, the function redirects the user to that URL. If it is not, the function redirects the user to the homepage.",601,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",0.4744,356,The product's user interface does not warn the user before undertaking an unsafe action on behalf of that user. This makes it easier for attackers to trick users into inflicting damage to their system.,0.4488,676,"The product invokes a potentially dangerous function that could introduce a vulnerability if it is used incorrectly, but the function can also be used safely.",0.4447,242,The product calls a function that can never be guaranteed to work safely.,0.4070,756,"The product does not return custom error pages to the user, possibly exposing sensitive information.",0.3959,38,0.3002,20,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
cwe-476,codeql-eg-MissingNullTest-b,The main function allocates a new person and sets its status to 0.,242,The product calls a function that can never be guaranteed to work safely.,0.3561,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.3397,1058,The code contains a function or method that operates in a multi-threaded environment but owns an unsafe non-final static storable or member data element.,0.3164,1084,A function or method contains too many operations that utilize a data manager or file resource.,0.3122,475,The behavior of this function is undefined unless its control parameter is set to a specific value.,0.3072,168,0.1223,476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
cwe-476,codeql-eg-MissingNullTest-c,The main function in this code allocates a large buffer and copies 100 characters from stdin into it.,805,"The product uses a sequential operation to read or write a buffer, but it uses an incorrect length value that causes it to access memory that is outside of the bounds of the buffer.",0.5244,787,"The product writes data past the end, or before the beginning, of the intended buffer.",0.5219,125,"The product reads data past the end, or before the beginning, of the intended buffer.",0.4943,131,"The product does not correctly calculate the size to be used when allocating a buffer, which could lead to a buffer overflow.",0.4861,120,"The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow.",0.4699,158,0.1389,476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
cwe-476,codeql-eg-MissingNullTest-a,The main function allocates a new person and sets its status to 0.,242,The product calls a function that can never be guaranteed to work safely.,0.3561,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.3397,1058,The code contains a function or method that operates in a multi-threaded environment but owns an unsafe non-final static storable or member data element.,0.3164,1084,A function or method contains too many operations that utilize a data manager or file resource.,0.3122,475,The behavior of this function is undefined unless its control parameter is set to a specific value.,0.3072,168,0.1223,476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
cwe-200,mitre-eg-1,"The login function logs in the user if the username and password are correct. It does this by first connecting to the database and then executing a SQL query to select all rows from the users table where the username and password match the values provided in the request. If the query returns any results, then the function logs the user in by setting the session variables id and Role to the values of the first row returned by the query.",523,Login pages do not use adequate measures to protect the user name and password while they are in transit from the client to the server.,0.4077,836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.3827,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.3748,289,"The product performs authentication based on the name of a resource being accessed, or the name of the actor performing the access, but it does not properly check all possible names for that resource or actor.",0.3263,639,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.,0.2944,80,0.0939,200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
cwe-522,my-eg-1-c,"The register function gets the username, password, first name, last name, and email from the user and checks if the username is already in the database. If the username is not in the database, the function inserts the username and hashed password into the database and returns a success message.",836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.4159,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4105,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.3369,620,"When setting a new password for a user, the product does not require knowledge of the original password, or using another form of authentication.",0.3207,1392,The product uses default credentials (such as passwords or cryptographic keys) for potentially critical functionality.,0.2916,16,0.2628,522,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
cwe-522,my-eg-1-b,"
#register url
@app.route('/register', methods=['POST'])
def register():
   username = request.form['username']
   password = request.form['password']
   #hash the password
   salt = os.urandom(16)
   password = password.encode('utf-8')
   password = salt + password
   password = hashlib.sha256(password)
   password = password.hexdigest()

   db = MySQLdb.connect(host='localhost', user='root', passwd='', db='users')
   cursor = db.cursor()
   cursor.execute(""SELECT * FROM user_details WHERE username = '""+username+""'"")
   data = cursor.fetchone()
   if(len(data) > 0):
      print('Username already exists, try a different one')
      return redirect('/register')
   else:
      cursor.execute(""INSERT INTO user_details (username, password, salt, email) VALUES ('""+username+""', '""+password+""', '""+salt+""', '')"")
      db.commit()
      return redirect('/login')

The register function does the following:

1. Gets the username and password from the request.
2. Hashes the password.
3. Checks if the username already exists in the database.
4. If the username does not exist, inserts the username, password, and salt into the database.
5. Redirects the user to the login page.",601,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",0.2669,698,"The web application sends a redirect to another location, but instead of exiting, it executes additional code.",0.2531,523,Login pages do not use adequate measures to protect the user name and password while they are in transit from the client to the server.,0.2436,620,"When setting a new password for a user, the product does not require knowledge of the original password, or using another form of authentication.",0.2435,305,"The authentication algorithm is sound, but the implemented mechanism can be bypassed as the result of a separate weakness that is primary to the authentication error.",0.2272,27,0.1088,522,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
cwe-522,my-eg-1-a,The register function inserts a new user into the database. It takes the username and password from the request and hashes the password before inserting it into the database.,836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.4125,620,"When setting a new password for a user, the product does not require knowledge of the original password, or using another form of authentication.",0.3866,1392,The product uses default credentials (such as passwords or cryptographic keys) for potentially critical functionality.,0.3641,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3558,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.3434,12,0.3057,522,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
cwe-502,codeql-eg-UnsafeDeserialization-c,"The calculate_price function takes a product code and quantity as input, and returns the total price. The function first gets the price for the product code from the get_price_for_product_code function. Then, it multiplies the price by the quantity to get the total price.",1041,"The product has multiple functions, methods, procedures, macros, etc. that contain the same code.",0.3796,193,"A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value.",0.3489,628,"The product calls a function, procedure, or routine with arguments that are not correctly specified, leading to always-incorrect behavior and resultant weaknesses.",0.3420,190,"The product performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control.",0.3398,822,"The product obtains a value from an untrusted source, converts this value to a pointer, and dereferences the resulting pointer.",0.3304,392,-0.0126,502,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.
cwe-502,codeql-eg-UnsafeDeserialization-b,The temperature_for_location function gets the latitude and longitude and date from the incoming YAML payload and returns the temperature from the database.,1327,"The product assigns the address 0.0.0.0 for a database server, a cloud service/instance, or any computing resource that communicates remotely.",0.3178,125,"The product reads data past the end, or before the beginning, of the intended buffer.",0.2646,787,"The product writes data past the end, or before the beginning, of the intended buffer.",0.2453,347,"The product does not verify, or incorrectly verifies, the cryptographic signature for data.",0.2364,1108,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context.",0.2353,172,0.0564,502,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.
